MOB.021.Rec.R1.fastq	MOB.022.Rec.R1.fastq	MOB.029.Rec.R1.fastq	MOB.037.Rec.R1.fastq	MOB.055.Rec.R1.fastq	MOB.103.Rec.R1.fastq	MOB.175.Rec.R1.fastq	MOB.195.Rec.R1.fastq	MOB.280.Rec.R1.fastq	MOB.281.Rec.R1.fastq
Firmicutes_A;Clostridia;Tissierellales;Ezakiellaceae;g__Fenollaria	3398	0	0	1	0	7	114	88	0	17
Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;g__Dubosiella	0	0	0	0	5	0	7	5	0	22
Actinobacteriota;Actinobacteria;Actinomycetales;Micrococcaceae;g__Rothia	4	0	0	0	70	0	0	32	0	11
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;g__Lactobacillus_H	218	5548	900	1076	0	0	34	201	0	0
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;g__Facklamia	57	0	0	0	17	0	184	3037	0	65
Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;g__Blastomonas	0	0	0	0	0	0	0	0	0	37
Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;g__Citrobacter	0	0	0	0	0	0	8	0	0	0
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;g__Enhydrobacter	0	0	0	0	9	0	0	6	1	7
Actinobacteriota;Actinobacteria;Actinomycetales;Micrococcaceae;g__Pseudoglutamicibacter	1	0	0	0	0	0	5	0	0	716
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;g__Senegalimassilia	38	0	0	0	0	0	56	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Lachnospira	248	0	0	1	0	0	10	0	0	12
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Lachnoanaerobaculum	0	0	0	0	0	0	14	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__CAG-65	78	0	0	0	6	0	44	0	0	18
Firmicutes_A;Clostridia;Oscillospirales;Butyricicoccaceae;g__Agathobaculum	73	0	0	0	0	0	9	0	0	9
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;g__Peptoniphilus_B	188	0	0	0	0	1	60	1	0	15
Firmicutes_C;Negativicutes;Veillonellales;Dialisteraceae;g__Dialister	1578	0	2915	1485	170	204	193	334	0	54
Firmicutes_A;Clostridia;Oscillospirales;Butyricicoccaceae;g__Intestinibacillus	12	0	0	0	0	0	9	0	0	0
Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;g__UBA419	0	0	0	0	0	0	9	0	0	0
Firmicutes;Bacilli;Haloplasmatales;Turicibacteraceae;g__Turicibacter	18	0	0	0	0	0	0	0	0	6
Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;g__Faecalibaculum	0	0	0	0	0	0	12	0	0	0
Firmicutes;Bacilli;Lactobacillales;Listeriaceae;g__Listeria	0	13391	0	0	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;RF32;CAG-239;g__CAG-495	3	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__W5053	177	0	0	0	0	0	0	4	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__CAG-24	48	0	0	0	0	0	21	0	0	9
Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;g__Intestinimonas	9	0	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;g__Paucibacter	0	0	0	0	0	0	14	0	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;g__Atopobium	65	0	509	640	0	0	0	66	0	6
Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;g__CAG-110	15	0	0	0	0	0	11	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Ruminococcus_D	13	0	0	0	0	0	10	0	0	5
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;g__Enterorhabdus	10	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;DTU089;g__Ruminococcus_E	242	0	0	0	0	0	146	10	0	119
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Subdoligranulum	89	0	0	0	0	0	139	7	0	31
Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;g__Odoribacter	3	0	0	0	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;g__Actinomyces_C	42	0	0	0	0	0	14	17	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;g__Neisseria	0	2	0	0	0	0	8	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Micrococcaceae;g__Kocuria	0	0	0	0	0	0	5	0	0	0
Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;g__Roseomonas	0	0	0	0	0	0	9	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__CAG-56	40	0	0	0	0	0	0	0	0	3
Firmicutes_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae;g__Intestinibacter	161	0	0	0	0	0	20	0	0	0
Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;g__Zag1	0	0	0	0	0	0	0	0	0	8
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;g__Olegusella	35	0	0	0	7902	11227	21	0	0	7
Firmicutes_C;Negativicutes;Veillonellales;Veillonellaceae;g__Veillonella_A	0	0	0	0	11	0	0	26	0	102
Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;g__Clostridium_AJ	11	0	0	0	0	0	22	0	0	0
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;g__Facklamia_A	1	0	0	0	0	0	94	0	0	32
Actinobacteriota;Actinobacteria;Actinomycetales;Dermatophilaceae;g__Janibacter	0	0	0	0	0	0	18	0	0	0
Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;g__Luteimonas	0	0	0	0	0	0	0	0	0	6
Firmicutes;Bacilli;Staphylococcales;Gemellaceae;g__Gemella_A	0	0	0	2	251	0	0	0	0	6
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Agathobacter	103	0	0	0	8	0	95	0	0	47
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;g__Sutterella	5	0	0	0	0	0	0	0	0	3
Firmicutes_A;Clostridia;Oscillospirales;DTU089;g__DTU053	6	0	0	0	0	1	17	0	0	7
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;g__Mobiluncus	127	0	0	0	77	0	251	0	0	0
Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;g__Acidaminococcus	158	0	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;g__Pelistega	0	0	0	0	0	0	0	0	0	18
Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;g__Alistipes	21	0	0	0	7	0	47	0	0	25
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;g__Caldimonas	0	0	0	0	0	0	8	0	0	0
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;g__Dolosicoccus	0	0	0	0	1	0	0	64	0	17
Firmicutes_A;Clostridia;Saccharofermentanales;KA00274;g__KA00274	0	0	0	0	3980	2200	0	0	0	1
Firmicutes_C;Negativicutes;Veillonellales;Megasphaeraceae;g__Anaeroglobus	32	0	71	0	0	0	12	0	0	0
Firmicutes;Bacilli;Bacillales;Bacillaceae_G;g__Bacillus	0	12846	0	0	0	0	20	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;g__Bacteroides_B	42	0	0	0	4	0	51	0	0	32
Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;g__Bosea	0	0	0	0	0	0	0	0	0	42
Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;g__Erysipelatoclostridium	0	0	0	0	0	0	18	0	0	4
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Ruthenibacterium	0	0	0	1	0	0	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Blautia	1079	0	0	0	14	0	733	3	0	133
Actinobacteriota;Actinobacteria;Actinomycetales;Micrococcaceae;g__Micrococcus	0	0	0	0	8	0	0	0	0	0
Deinococcota;Deinococci;Deinococcales;Thermaceae;g__Thermus	0	0	0	0	0	0	10	0	0	14
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Bittarella	44	0	0	0	5	0	74	0	0	18
Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;g__Sphingomonas	0	0	0	0	1	0	17	0	0	64
Actinobacteriota;Actinobacteria;Actinomycetales;Dermabacteraceae;g__Dermabacter	0	0	0	0	0	0	21	43	0	56
Firmicutes;Bacilli;Bacillales;Marinococcaceae;g__Marinococcus	0	0	0	0	0	0	7	0	0	0
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;g__Lawsonella	127	0	0	0	10	0	22	15	0	60
Firmicutes_C;Negativicutes;Veillonellales;Veillonellaceae;g__Veillonella	0	0	0	110	11	0	0	39	0	102
Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;g__Mitsuokella	1	0	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;g__Dakarella	4	0	0	0	0	0	0	0	0	0
Firmicutes;Alicyclobacillia;Alicyclobacillales;Alicyclobacillaceae;g__Alicyclobacillus	0	0	0	0	0	0	7	0	0	0
Firmicutes_A;Clostridia;Christensenellales;CAG-138;g__PeH17	22	0	0	0	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Coprobacteraceae;g__Coprobacter	0	0	0	0	0	0	7	0	0	15
Actinobacteriota;Actinobacteria;Actinomycetales;Bifidobacteriaceae;g__Alloscardovia	0	0	0	5	0	0	0	1	0	0
Firmicutes_A;Clostridia;Tissierellales;Ezakiellaceae;g__Ezakiella	3013	0	0	0	0	0	161	1171	0	10
Firmicutes_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae;g__Terrisporobacter	235	0	13	1794	0	8	37	348	1	78
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;g__Massilia	0	0	0	0	0	0	3	0	0	11
Firmicutes_C;Negativicutes;Veillonellales;Megasphaeraceae;g__28L	0	0	0	0	1521	3928	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;g__Arcanobacterium_A	102	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Levyella	4892	0	0	0	0	0	21	140	0	1
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;g__Delftia	0	0	0	0	4	0	17	0	0	6
Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;g__Chryseobacterium_D	0	0	0	0	0	0	0	0	0	46
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Ndongobacter	0	0	0	0	0	0	6	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Micrococcaceae;g__Arthrobacter_D	0	0	0	0	0	0	0	0	0	99
Firmicutes;Bacilli;Staphylococcales;Salinicoccaceae;g__Jeotgalicoccus	0	0	0	0	0	0	0	0	0	12
Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;g__Bradyrhizobium	0	0	0	0	0	0	9	0	0	0
Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;g__Akkermansia	0	0	0	0	3	0	15	0	0	15
Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;g__Xanthobacter	0	0	0	0	0	0	11	0	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;g__UBA1191	7	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Saccharofermentanales;Mageeibacillaceae;g__Mageeibacillus	0	0	0	0	195	336	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;g__Trueperella	0	0	0	0	0	0	0	191	0	31
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Ruminococcus	1100	0	0	0	3	0	293	12	0	132
Firmicutes;Bacilli;Mycoplasmatales;Ureaplasmataceae;g__Ureaplasma	0	0	0	42	86	0	40	1	14	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;g__Olsenella	82	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__TF01-11	11	0	0	0	0	0	12	0	0	0
Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae_B;g__Mycoplasma_D	0	0	0	0	106	0	0	0	0	0
Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;g__Vaginella	0	0	0	0	0	0	0	0	0	10
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;g__Slackia	1	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Murdochiella;s__Murdochiella_massiliensis(RS_GCF_900059565.1)	10	0	0	0	0	0	8	9	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-45;s__(GB_GCA_900066395.1)	0	0	0	0	0	0	9	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminiclostridium_E;s__Ruminiclostridium_E_siraeum(RS_GCF_001404415.1)	32	0	0	0	0	0	11	0	0	14
Firmicutes_A;Clostridia;TANB77;CAG-508;CAG-354;s__(GB_GCA_000437455.1)	123	0	0	0	0	0	16	0	0	0
Firmicutes_A;Clostridia;CAG-41;UBA1381;CAG-41;s__CAG-41_sp1(GB_GCA_900066215.1)	24	0	0	0	0	0	12	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;s__Parabacteroides_merdae(RS_GCF_000307345.1)	2	0	0	0	0	0	11	0	0	9
Firmicutes_A;Clostridia;Clostridiales;Clostridiaceae;Clostridium_P;s__Clostridium_P_ventriculi(RS_GCF_001485185.1)	32	0	0	0	0	0	23	0	0	55
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;992a;s__(RS_GCF_001940245.1)	40	0	0	0	0	0	41	0	0	23
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CHKCI001;s__(RS_GCF_900045905.1)	116	0	0	0	2	0	31	0	0	49
Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;s__Sneathia_sanguinegens(RS_GCF_001517935.1)	0	0	0	0	1936	3974	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;s__Coprococcus_eutactus(RS_GCF_000154425.1)	41	0	0	0	0	0	17	0	0	37
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;s__(GB_GCA_900066555.1)	20	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcus_B;s__Ruminococcus_B_faecis(RS_GCF_001406755.1)	161	0	0	0	3	0	105	2	0	5
Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;s__Porphyromonas_uenonis(RS_GCF_000482365.1)	180	0	0	0	0	0	9	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Urinacoccus;s__(RS_GCF_000221565.1)	222	0	0	0	0	3	36	1158	0	41
Firmicutes;Bacilli_A;Paenibacillales;Paenibacillaceae;Paenibacillus_G;s__Paenibacillus_G_tyrfis(RS_GCF_900188505.1)	0	0	0	0	0	0	0	0	0	5
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;s__Lactobacillus_iners(RS_GCF_000177755.1)	10574	21	73191	41468	3040	3303	1535	5229	1598	8658
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter;s__Fusicatenibacter_saccharivorans(RS_GCF_001405555.1)	469	0	0	0	1	0	133	0	0	41
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Peptoniphilus_A;s__(RS_GCF_001553125.1)	6118	0	64	1275	118	16	109	2292	3	228
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__(RS_GCF_001811125.1)	289	0	0	0	155	6	0	56	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Parasutterella;s__(GB_GCA_000980495.1)	0	0	0	0	0	0	0	0	0	7
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Neofamilia;s__Neofamilia_massiliensis(RS_GCF_001299475.1)	0	0	0	0	0	0	48	2295	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;s__Collinsella_aerofaciens_A(RS_GCF_002736145.1)	152	0	0	0	0	0	198	0	0	20
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Peptoniphilus_C;s__Peptoniphilus_C_coxii(RS_GCF_001553115.1)	528	0	0	0	33	0	0	1240	0	24
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Peptoniphilus_C;s__Peptoniphilus_C_urinimassiliensis(RS_GCF_900155585.1)	4968	0	0	0	10	1	67	505	0	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_C;s__Ruminococcus_C_callidus(RS_GCF_000468015.1)	78	0	0	0	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotellamassilia;s__Prevotellamassilia_timonensis(RS_GCF_900106785.1)	0	0	0	0	0	0	16	0	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;UBA1382;s__(RS_GCF_002159625.1)	12	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Lagierella;s__Lagierella_massiliensis(RS_GCF_001407835.1)	121	0	0	0	0	0	111	12	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__Prevotella_bergensis(RS_GCF_000160535.1)	26	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__Anaerococcus_mediterraneensis(RS_GCF_900128415.1)	1155	0	0	3	5	6	94	3771	0	268
Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter_B;s__Campylobacter_B_gracilis(RS_GCF_000175875.1)	0	0	0	0	0	0	0	0	0	25
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Eubacterium_E;s__Eubacterium_E_hallii(RS_GCF_000173975.1)	51	0	0	0	0	0	54	0	0	0
Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Allobaculum;s__Allobaculum_stercoricanis(RS_GCF_000384195.1)	0	0	0	0	0	0	14	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__Anaerococcus_rubeinfantis(RS_GCF_001487145.1)	47	0	0	0	5	0	0	26	0	0
Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;Pyramidobacter;s__(RS_GCF_002007215.1)	0	0	0	0	0	0	7	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;DTU089;Eubacterium_R;s__Eubacterium_R_sp2(GB_GCA_000980395.1)	22	0	0	0	0	0	13	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__Prevotella_copri_A(RS_GCF_002224675.1)	559	0	0	0	3	0	202	3	0	54
Firmicutes_A;Clostridia;Clostridiales;Clostridiaceae;Clostridium;s__(RS_GCF_000753455.2)	192	0	0	0	1	0	180	11	0	15
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__(RS_GCF_001182725.1)	2638	0	0	78	0	0	34	39	0	5
Firmicutes_C;Negativicutes;Veillonellales;Megasphaeraceae;Megasphaera;s__(RS_GCF_001546855.1)	13	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Parvimonas;s__Parvimonas_micra(RS_GCF_000154405.1)	0	0	0	0	485	627	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066135;s__(GB_GCA_900066135.1)	53	0	0	0	0	0	2	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;s__(RS_GCF_001940165.1)	154	0	0	0	10	0	87	0	0	14
Proteobacteria;Gammaproteobacteria;Enterobacterales;Succinivibrionaceae;Succinivibrio;s__Succinivibrio_dextrinosolvens_B(RS_GCF_900116345.1)	0	0	0	0	0	0	33	0	0	17
Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Aquamicrobium;s__Aquamicrobium_sp1(RS_GCF_001705425.1)	0	0	0	1	7	0	10	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__Prevotella_timonensis(RS_GCF_000762405.1)	744	0	0	0	0	2232	10	0	0	11
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Peptoniphilus;s__Peptoniphilus_obesi(RS_GCF_000311865.1)	274	0	0	0	0	1	60	159	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Mogibacterium;s__(GB_GCA_001513255.1)	0	0	0	0	0	0	17	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;s__Bifidobacterium_vaginalis_A(RS_GCF_001563665.1)	0	0	0	0	1184	3270	8	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;s__(RS_GCF_001808555.1)	501	0	0	0	0	0	37	251	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;DNF00809;s__(RS_GCF_001552935.1)	0	0	0	0	358	219	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-81;s__(GB_GCA_900066055.1)	24	0	0	0	0	0	3	0	0	0
Firmicutes_A;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium_O;s__Eubacterium_O_barkeri(RS_GCF_900107125.1)	0	0	0	0	0	0	690	0	0	0
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;s__Lactobacillus_johnsonii(RS_GCF_000091405.1)	301	0	2239	48	0	0	5	5	0	0
Actinobacteriota;Actinobacteria;Corynebacteriales;Geodermatophilaceae;Blastococcus;s__(RS_GCF_900102115.1)	0	112	0	0	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;s__Corynebacterium_riegelii(RS_GCF_001263755.1)	0	0	0	0	0	0	0	0	0	172
Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter_B;s__Campylobacter_B_ureolyticus(RS_GCF_000374605.1)	0	0	0	0	0	0	115	0	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Romboutsia;s__Romboutsia_timonensis(RS_GCF_900106845.1)	51	0	0	0	0	0	128	4	0	20
Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;UBA2883;s__UBA2883_sp1(GB_GCA_002481545.1)	39	0	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Catenibacterium;s__Catenibacterium_mitsuokai(RS_GCF_000173795.1)	402	0	0	0	0	0	0	3	0	27
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;s__(RS_GCF_000285855.1)	265	0	0	0	14	0	411	2	0	82
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Eubacterium_E;s__Eubacterium_E_hallii_A(RS_GCF_900209925.1)	17	0	0	0	0	0	22	0	0	20
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;s__Faecalibacterium_prausnitzii(RS_GCF_001406355.1)	60	0	0	0	0	0	28	0	0	0
Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;Jonquetella;s__Jonquetella_anthropi(RS_GCF_000468895.1)	16	0	0	0	0	0	93	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Ezakiellaceae;Fenollaria;s__Fenollaria_massiliensis(RS_GCF_000312505.2)	3398	0	0	1	0	7	114	88	0	17
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia;s__Facklamia_hominis(RS_GCF_000301035.1)	56	0	0	0	17	0	90	3037	0	33
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter;s__Enhydrobacter_aerosaccus(RS_GCF_001679275.1)	0	0	0	0	9	0	0	6	1	7
Actinobacteriota;Actinobacteria;Actinomycetales;Micrococcaceae;Pseudoglutamicibacter;s__Pseudoglutamicibacter_albus(RS_GCF_002847605.1)	1	0	0	0	0	0	5	0	0	716
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;s__Bacteroides_ovatus(RS_GCF_001314995.1)	0	0	0	0	0	0	0	0	0	5
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Senegalimassilia;s__Senegalimassilia_anaerobia(RS_GCF_000236865.1)	38	0	0	0	0	0	56	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__Anaerococcus_octavius(RS_GCF_002847745.1)	17	0	0	0	14	0	637	951	0	419
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;s__Lachnospira_rogosae(RS_GCF_001405835.1)	21	0	0	0	0	0	7	0	0	12
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__Anaerococcus_hydrogenalis(RS_GCF_000173355.1)	229	0	0	0	28	0	0	4	0	5
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-65;s__CAG-65_sp3(GB_GCA_900066565.1)	78	0	0	0	6	0	44	0	0	18
Firmicutes_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;s__Agathobaculum_sp1(GB_GCA_900066795.1)	73	0	0	0	0	0	9	0	0	9
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Peptoniphilus_A;s__(RS_GCF_900099555.1)	2670	0	0	0	16	2	166	28	0	168
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;s__(GB_GCA_900066165.1)	393	0	0	0	0	0	93	0	0	8
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__(RS_GCF_000479005.1)	0	0	0	0	0	410	3	0	0	9
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Peptoniphilus_B;s__(RS_GCF_000478985.1)	188	0	0	0	0	1	60	1	0	15
Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Mogibacterium;s__Mogibacterium_timidum(RS_GCF_000525775.1)	777	0	0	0	0	0	10	1	0	0
Firmicutes_A;Clostridia;Oscillospirales;Butyricicoccaceae;Intestinibacillus;s__Intestinibacillus_massiliensis(RS_GCF_900155735.1)	12	0	0	0	0	0	9	0	0	0
Firmicutes;Bacilli;Haloplasmatales;Turicibacteraceae;Turicibacter;s__Turicibacter_sanguinis(RS_GCF_001404715.1)	18	0	0	0	0	0	0	0	0	6
