MOB.021.Rec.R1.fastq	MOB.022.Rec.R1.fastq	MOB.029.Rec.R1.fastq	MOB.037.Rec.R1.fastq	MOB.055.Rec.R1.fastq	MOB.103.Rec.R1.fastq	MOB.175.Rec.R1.fastq	MOB.195.Rec.R1.fastq	MOB.280.Rec.R1.fastq	MOB.281.Rec.R1.fastq
Firmicutes_A;Clostridia;o__Saccharofermentanales	0	0	0	0	4175	2536	0	0	0	1
Deinococcota;Deinococci;o__Deinococcales	0	0	0	0	0	0	10	0	0	14
Bacteroidota;Bacteroidia;o__Flavobacteriales	0	0	0	0	0	0	0	0	0	56
Firmicutes;Alicyclobacillia;o__Alicyclobacillales	0	0	0	0	0	0	7	0	0	0
Firmicutes_A;Clostridia;o__Christensenellales	22	0	0	0	0	0	0	0	0	0
Verrucomicrobiota;Verrucomicrobiae;o__Verrucomicrobiales	0	0	0	0	3	0	15	0	0	15
Firmicutes;Bacilli;o__Mycoplasmatales	0	0	0	42	192	0	40	1	14	0
Firmicutes_A;Clostridia;Lachnospirales;f__Lachnospiraceae	4060	0	26	634	45	0	2150	107	0	468
Firmicutes;Bacilli;Lactobacillales;f__Streptococcaceae	233	1	257	199	24	11	51	130	57112	78
Firmicutes_A;Clostridia;Tissierellales;f__Helcococcaceae	22188	0	488	4039	1399	956	2864	22691	5	2877
Firmicutes_A;Clostridia;Oscillospirales;f__Ruminococcaceae	2935	0	0	2	20	2	741	25	0	212
Firmicutes_A;Clostridia;TANB77;f__CAG-508	123	0	0	0	0	0	16	0	0	0
Firmicutes_A;Clostridia;CAG-41;f__UBA1381	24	0	0	0	0	0	12	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;f__Tannerellaceae	2	0	0	0	0	0	11	0	0	9
Firmicutes_A;Clostridia;Clostridiales;f__Clostridiaceae	405	0	0	0	3	0	287	17	0	84
Firmicutes;Bacilli;Bacillales;f__Bacillaceae_G	0	0	0	0	0	0	20	0	0	0
Fusobacteriota;Fusobacteriia;Fusobacteriales;f__Leptotrichiaceae	0	0	0	0	4058	4159	0	0	0	0
Firmicutes;Bacilli;Lactobacillales;f__Enterococcaceae	0	8517	0	1	0	0	12	0	26	7
Firmicutes_A;Clostridia;Tissierellales;f__Peptoniphilaceae	18654	0	68	1275	310	34	1127	11178	3	987
Actinobacteriota;Actinobacteria;Actinomycetales;f__Microbacteriaceae	0	0	0	0	0	0	0	67	0	40
Firmicutes_A;Clostridia;Oscillospirales;f__Oscillospiraceae	152	0	0	0	0	0	121	1	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;f__Actinomycetaceae	476	0	0	0	115	1	434	467	1	79
