MOB.021.Vag.R1.fastq	MOB.022.Vag.R1.fastq	MOB.029.Vag.R1.fastq	MOB.037.Vag.R1.fastq	MOB.055.Vag.R1.fastq	MOB.103.Vag.R1.fastq	MOB.175.Vag.R1.fastq	MOB.195.Vag.R1.fastq	MOB.280.Vag.R1.fastq	MOB.281.Vag.R1.fastq
Firmicutes_C;Negativicutes;o__Selenomonadales	7	658	0	1214	82	0	24	0	0	0
Proteobacteria;Alphaproteobacteria;o__Rhizobiales	0	0	0	0	18	0	12	0	0	35
Actinobacteriota;Actinobacteria;o__Propionibacteriales	0	0	0	0	0	0	6	0	0	0
Firmicutes;Bacilli;o__RF39	2	29	0	14	0	14	6	44	0	0
Firmicutes_A;Clostridia;o__Eubacteriales	3	0	0	0	0	3	0	0	0	226
Proteobacteria;Alphaproteobacteria;o__Rhodobacterales	0	0	0	9	0	2	227	0	0	10
Firmicutes_C;Negativicutes;o__Acidaminococcales	25	111	0	549	0	198	4	313	0	41
Euryarchaeota;Methanobacteria;o__Methanobacteriales	41	59	0	0	7	43	16	10	0	103
Firmicutes;Bacilli;o__Haloplasmatales	0	23	0	3861	73	1	0	76	0	0
Proteobacteria;Alphaproteobacteria;o__RF32	0	0	0	58	0	0	0	14	0	0
Firmicutes;Bacilli;o__Acholeplasmatales	0	0	0	3	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;o__Acetobacterales	0	0	0	0	0	0	3	0	0	0
Firmicutes_A;Clostridia;o__Acetivibrionales	0	0	0	0	0	0	0	20	0	0
Planctomycetota;Phycisphaerae;o__Phycisphaerales	0	0	0	0	0	0	11	0	0	0
Deferribacterota;Deferribacteres;o__Deferribacterales	0	0	0	6	0	0	0	0	0	0
Elusimicrobiota;Elusimicrobia;o__Elusimicrobiales	0	3	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;o__Saccharofermentanales	0	0	0	0	0	162	184	0	0	0
Firmicutes_A;Clostridia;o__4C28d-15	0	11	0	0	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;o__Azospirillales	0	0	0	2	0	0	0	0	0	0
Bacteroidota;Bacteroidia;o__Flavobacteriales	0	0	0	2	374	1	15	11	0	32
Firmicutes_A;Clostridia;o__Christensenellales	4	14	0	0	0	0	0	28	0	8
Bdellovibrionota;Bacteriovoracia;o__Bacteriovoracales	0	0	0	0	8	0	0	0	0	0
Bacteroidota;Bacteroidia;o__Sphingobacteriales	0	0	0	0	0	0	23	0	0	0
Firmicutes;Bacilli;o__RFN20	0	9	0	0	0	0	0	0	0	0
Verrucomicrobiota;Verrucomicrobiae;o__Verrucomicrobiales	118	0	0	1498	0	7	0	96	2	0
Firmicutes;Bacilli;o__Mycoplasmatales	0	0	0	0	0	0	67	0	0	88
Firmicutes_A;Clostridia;Lachnospirales;f__Lachnospiraceae	2421	10134	0	175500	1871	4370	298	11223	148	283
Firmicutes;Bacilli;Lactobacillales;f__Streptococcaceae	689	99	13262	7362	103	55	732	11	38173	93
Firmicutes_A;Clostridia;Tissierellales;f__Helcococcaceae	3369	21587	45	33	12618	31225	33685	8034	1291	2476
Firmicutes_A;Clostridia;Oscillospirales;f__Ruminococcaceae	1552	5358	0	113523	884	2195	247	7135	229	100
Firmicutes_A;Clostridia;TANB77;f__CAG-508	55	72	0	810	10	40	0	94	1	0
Firmicutes_A;Clostridia;CAG-41;f__UBA1381	12	7	0	2175	0	12	0	53	0	0
Bacteroidota;Bacteroidia;Bacteroidales;f__Tannerellaceae	0	8	0	952	0	9	0	63	12	0
Firmicutes_A;Clostridia;Clostridiales;f__Clostridiaceae	47	2216	0	25813	131	68	5	1099	5	20
Firmicutes;Bacilli;Bacillales;f__Bacillaceae_G	0	0	0	0	0	0	0	0	0	5
Fusobacteriota;Fusobacteriia;Fusobacteriales;f__Leptotrichiaceae	0	0	0	0	0	281	388	0	0	0
Firmicutes;Bacilli;Lactobacillales;f__Enterococcaceae	344	27	4344	527	0	56	32	4	371	0
Firmicutes_A;Clostridia;Tissierellales;f__Peptoniphilaceae	3283	8421	7	8	6041	21048	6530	5303	764	4081
Actinobacteriota;Actinobacteria;Actinomycetales;f__Microbacteriaceae	0	0	0	0	58	0	41	0	0	17
Firmicutes_A;Clostridia;Oscillospirales;f__Oscillospiraceae	167	1143	0	3362	30	155	73	1227	7	35
Actinobacteriota;Actinobacteria;Actinomycetales;f__Actinomycetaceae	542	690	15	31	96	167	1250	425	13	1039
Actinobacteriota;Actinobacteria;Actinomycetales;f__Brevibacteriaceae	0	0	0	0	513	3	15	8	0	101
Bacteroidota;Bacteroidia;Bacteroidales;f__Porphyromonadaceae	402	225	0	0	179	892	0	514	3	190
Firmicutes;Bacilli;Staphylococcales;f__Staphylococcaceae	530	217	3320	99	1733	11	1076	47	140	763
Firmicutes;Bacilli_A;Paenibacillales;f__Paenibacillaceae	0	0	0	0	14	6	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;f__Bacteroidaceae	4259	16839	13	30103	3033	3750	178	6095	380	1276
Firmicutes;Bacilli;Lactobacillales;f__Lactobacillaceae	465	1635	1851	421	350	69	159	167	20	51891
Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;f__Gastranaerophilaceae	78	277	0	482	0	17	0	172	0	208
Actinobacteriota;Actinobacteria;Corynebacteriales;f__Corynebacteriaceae	23	1556	11	20	16021	509	23061	1981	4	2289
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;f__Burkholderiaceae	229	223	2	2661	319	109	47	157	55	31
Actinobacteriota;Coriobacteriia;Coriobacteriales;f__Eggerthellaceae	19	161	0	178	71	75	17	107	3	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;f__Coriobacteriaceae	259	943	0	1527	252	232	29	388	21	10
Desulfobacterota;Desulfovibrionia;Desulfovibrionales;f__Desulfovibrionaceae	54	144	0	0	0	41	14	280	3	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;f__Atopobiaceae	33	66	1	3	4	910	390	4	6	458
Verrucomicrobiota;Lentisphaeria;UBA1784;f__GWF2-45-14	0	0	0	7	0	0	0	2	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;f__Dermabacteraceae	0	0	0	0	249	1	177	37	0	0
Firmicutes_C;Negativicutes;Veillonellales;f__Megasphaeraceae	32	145	0	571	48	367	155	2	0	334
Proteobacteria;Alphaproteobacteria;Caulobacterales;f__Caulobacteraceae	0	0	0	0	13	0	63	0	0	33
Proteobacteria;Gammaproteobacteria;Xanthomonadales;f__Xanthomonadaceae	0	0	0	0	7	0	59	0	0	6
Fusobacteriota;Fusobacteriia;Fusobacteriales;f__Fusobacteriaceae	0	33	0	2275	0	0	63	0	0	0
Proteobacteria;Alphaproteobacteria;Sphingomonadales;f__Sphingomonadaceae	0	0	0	0	40	0	223	0	0	14
Firmicutes_C;Negativicutes;Veillonellales;f__Dialisteraceae	631	2230	1	3032	342	231	216	226	7	509
Campylobacterota;Campylobacteria;Campylobacterales;f__Campylobacteraceae	502	2008	0	7	175	269	10	109	4	634
Proteobacteria;Gammaproteobacteria;Enterobacterales;f__Enterobacteriaceae	29477	44	3126	26858	22	0	4	30	12307	6
Firmicutes;Bacilli;Erysipelotrichales;f__Erysipelotrichaceae	13	2526	0	1412	352	69	251	721	0	3
Proteobacteria;Gammaproteobacteria;Enterobacterales;f__Pasteurellaceae	0	0	0	3405	34	0	10	0	0	3
Proteobacteria;Gammaproteobacteria;Pseudomonadales;f__Moraxellaceae	0	2	0	2	76	8	0	0	1	214
