MOB.021.Vag.R1.fastq	MOB.022.Vag.R1.fastq	MOB.029.Vag.R1.fastq	MOB.037.Vag.R1.fastq	MOB.055.Vag.R1.fastq	MOB.103.Vag.R1.fastq	MOB.175.Vag.R1.fastq	MOB.195.Vag.R1.fastq	MOB.280.Vag.R1.fastq	MOB.281.Vag.R1.fastq
Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;g__Allobaculum	0	0	0	371	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;g__Haemophilus_D	0	0	0	2028	34	0	10	0	0	3
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;g__Acinetobacter	0	2	0	0	76	8	0	0	1	178
Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;g__Pyramidobacter	0	0	0	0	0	72	0	0	0	203
Firmicutes_A;Clostridia;Oscillospirales;DTU089;g__Eubacterium_R	4	95	0	176	0	0	0	34	0	0
Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;g__Luteimonas_A	0	0	0	0	0	0	4	0	0	0
Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;g__Fusobacterium	0	33	0	2275	0	0	63	0	0	0
Campylobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;g__Helicobacter_B	0	0	0	11	0	0	0	0	0	0
Firmicutes_A;Clostridia;Clostridiales;Clostridiaceae;g__Clostridium	56	2359	0	26201	138	83	4	1147	7	33
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Ruminococcus_F	0	36	0	0	0	17	0	78	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;g__Bacteroides_A	0	14	0	841	0	0	0	330	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Blautia_A	641	3064	0	55848	531	1479	180	2814	48	39
Firmicutes_A;Clostridia;Lachnospirales;Anaerotignaceae;g__Anaerotignum	19	13	0	158	0	16	0	21	0	3
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;g__Aerococcus	0	0	0	0	5	19	140	6	0	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;g__Klebsiella_A	0	0	0	278	0	0	0	0	0	0
Firmicutes_C;Negativicutes;Veillonellales;Megasphaeraceae;g__Caecibacter	0	27	0	0	0	0	0	0	0	14
Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;g__Megamonas	0	0	0	1214	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;g__Actinomyces_B	76	5	0	31	51	2	0	1	6	31
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;g__Bacteroides	1230	323	0	21507	0	69	0	793	275	8
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Parvimonas	0	13	0	7	0	63	56	0	27	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__GCA-900066135	12	25	0	880	0	9	0	95	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Roseburia	120	324	0	18868	154	102	30	803	5	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;Succinivibrionaceae;g__Succinivibrio	0	2231	0	1055	1041	0	47	17	0	7
Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;g__Aquamicrobium	0	0	0	0	8	0	12	0	0	7
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;g__Peptoniphilus	2906	8113	7	8	5324	19059	6489	5115	675	3872
Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;g__Nocardioides	0	0	0	0	0	0	6	0	0	0
Firmicutes;Bacilli;RF39;UBA660;g__UBA660	0	0	0	0	0	0	0	7	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;g__Mogibacterium	182	465	0	0	29	258	0	292	10	527
Actinobacteriota;Actinobacteria;Actinomycetales;Bifidobacteriaceae;g__Bifidobacterium	1223	818	12	42738	646	1757	2843	4029	42	118
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;g__DNF00809	0	0	0	0	0	13	8	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__GCA-900066575	0	0	0	0	0	0	7	71	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__CAG-81	38	65	0	1164	15	51	0	88	4	2
Firmicutes_A;Clostridia;Eubacteriales;Eubacteriaceae;g__Eubacterium_O	3	0	0	0	0	3	0	0	0	226
Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;g__Novosphingobium	0	0	0	0	0	0	0	0	0	11
Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;g__Muribaculum	0	0	0	111	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;g__Aliihoeflea	0	0	0	0	10	0	0	0	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;g__Emergencia	0	1	0	118	0	0	0	5	0	0
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;g__Paracoccus	0	0	0	9	0	2	227	0	0	10
Firmicutes_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae;g__Romboutsia	75	307	0	8649	40	15	0	152	0	7
Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;g__UBA2883	78	199	0	0	0	0	0	0	0	208
Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;g__Catenibacterium	404	946	0	1951	313	0	38	840	0	0
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;g__Psychrobacter	0	0	0	0	0	0	0	0	0	12
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Pseudobutyrivibrio	0	28	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Clostridiales;Savagellaceae;g__Savagella	0	0	0	46	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;g__Alistipes_A	4	0	0	100	0	0	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Oribacterium	0	68	0	0	54	0	0	0	0	0
Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;g__Jonquetella	0	0	0	0	0	6	0	0	0	2428
Firmicutes_A;Clostridia;Tissierellales;Ezakiellaceae;g__Fenollaria	2607	1632	2	0	1069	259	19	4536	49	442
Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;g__Dubosiella	0	2136	0	990	248	69	238	720	0	3
Actinobacteriota;Actinobacteria;Actinomycetales;Micrococcaceae;g__Rothia	0	0	0	139	15	8	2260	0	0	0
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;g__Lactobacillus_H	0	5	0	0	0	0	0	1	0	64
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;g__Slackia_A	0	0	0	17	0	0	0	0	0	0
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;g__Facklamia	37	201	1	1	140	97	311	25	21	65
Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;g__Blastomonas	0	0	0	0	0	0	0	0	0	3
Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;g__Citrobacter	685	0	0	1470	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;g__Enhydrobacter	0	0	0	2	0	0	0	0	0	24
Actinobacteriota;Actinobacteria;Actinomycetales;Micrococcaceae;g__Pseudoglutamicibacter	0	0	0	0	355	0	0	0	0	10
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;g__Senegalimassilia	0	101	0	85	53	45	9	29	3	0
Firmicutes;Bacilli;RF39;UBA660;g__CAG-302	0	18	0	0	0	0	0	27	0	0
Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;g__Succiniclasticum	0	2	0	0	0	5	0	2	0	41
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Lachnospira	19	119	0	3823	119	83	0	290	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Lachnoanaerobaculum	0	0	0	0	0	0	0	0	0	4
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__CAG-65	7	83	0	3912	0	43	0	435	3	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;g__Morganella	0	0	0	821	0	0	0	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Butyricicoccaceae;g__Agathobaculum	54	82	0	3176	38	125	4	214	4	0
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;g__Peptoniphilus_B	12	119	0	0	27	282	0	109	3	404
Firmicutes_C;Negativicutes;Veillonellales;Dialisteraceae;g__Dialister	594	2127	1	3005	342	211	212	149	7	509
Firmicutes_A;Clostridia;Oscillospirales;Butyricicoccaceae;g__Intestinibacillus	0	9	0	0	0	23	0	0	0	0
Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;g__UBA419	24	0	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;Haloplasmatales;Turicibacteraceae;g__Turicibacter	0	23	0	3861	73	1	0	76	0	0
Proteobacteria;Alphaproteobacteria;RF32;CAG-239;g__CAG-495	0	0	0	58	0	0	0	14	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;g__Gordonibacter	0	0	0	14	0	0	0	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__W5053	0	0	0	0	0	192	0	42	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__CAG-24	48	22	0	2847	0	16	0	134	0	0
Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;g__Intestinimonas	0	129	0	142	0	2	0	150	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;g__Atopobium	3	0	0	0	4	0	0	0	3	10
Firmicutes;Bacilli;RF39;UBA660;g__CAG-877	2	4	0	0	0	14	6	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;g__CAG-110	10	83	0	620	0	8	9	279	1	10
Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;g__Ancylobacter	0	0	0	0	0	0	0	0	0	10
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Ruminococcus_D	1	0	0	1907	30	2	8	29	3	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;g__Enterorhabdus	9	45	0	6	0	8	0	44	0	0
Firmicutes_A;Clostridia;Oscillospirales;DTU089;g__Ruminococcus_E	512	758	0	30984	75	171	63	1942	8	6
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Subdoligranulum	55	668	0	8019	114	228	58	692	16	0
Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;g__Odoribacter	6	1	0	132	0	2	0	40	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;g__Actinomyces_C	10	0	0	0	0	17	0	0	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;g__Neisseria	0	0	0	51	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Micrococcaceae;g__Kocuria	0	0	0	2	0	0	18	0	0	0
Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;g__Roseomonas	0	0	0	0	0	0	3	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__CAG-56	52	13	0	363	0	55	0	85	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae;g__Intestinibacter	7	632	0	4051	51	1	0	383	0	4
Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;g__Butyricimonas	4	0	0	0	0	0	0	9	0	0
Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;g__Zag1	0	78	0	427	0	17	0	172	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;g__Olegusella	23	9	1	0	0	906	390	0	3	439
Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;g__Coprobacillus	33	0	0	5	0	0	0	2	0	0
Firmicutes_C;Negativicutes;Veillonellales;Veillonellaceae;g__Veillonella_A	0	93	0	0	127	3	2	12	4	0
Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;g__Clostridium_AJ	9	143	0	388	7	15	4	48	2	13
Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;g__Methanobrevibacter	17	59	0	0	7	43	16	10	0	103
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;g__Facklamia_A	0	10	0	0	13	3	0	0	0	38
Firmicutes;Bacilli;RF39;UBA660;g__CAG-878	0	7	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;g__Luteimonas	0	0	0	0	7	0	46	0	0	0
Firmicutes;Bacilli;Staphylococcales;Gemellaceae;g__Gemella_A	0	2	0	40	0	0	0	0	0	9
Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;g__Campylobacter_A	0	0	0	6	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;g__Porphyrobacter_A	0	0	0	0	0	0	70	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Massilioclostridium	0	0	0	200	0	0	0	0	0	0
Deferribacterota;Deferribacteres;Deferribacterales;Mucispirillaceae;g__Mucispirillum	0	0	0	6	0	0	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Agathobacter	108	1157	0	13974	52	9	0	1248	0	24
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;g__Sutterella	222	41	2	2011	0	0	0	105	55	0
Firmicutes_A;Clostridia;Oscillospirales;DTU089;g__DTU053	53	142	0	1440	9	40	6	0	0	3
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;g__Mobiluncus	358	192	0	0	7	25	8	201	0	439
Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;g__Acidaminococcus	25	109	0	549	0	193	4	311	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;g__Pelistega	0	0	0	0	157	0	0	0	0	0
Elusimicrobiota;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;g__UBA1436	0	3	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;g__Pseudomonas_A	0	0	0	2	0	0	222	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;g__Alistipes	59	3	0	8183	0	6	0	72	0	5
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;g__Dolosicoccus	0	0	0	0	189	0	39	0	0	1
Firmicutes_A;Clostridia;Saccharofermentanales;KA00274;g__KA00274	0	0	0	0	0	141	177	0	0	0
Firmicutes_C;Negativicutes;Veillonellales;Megasphaeraceae;g__Anaeroglobus	32	0	0	0	0	19	0	2	0	320
Firmicutes;Bacilli;Bacillales;Bacillaceae_G;g__Bacillus	0	0	0	0	0	0	0	0	0	5
Proteobacteria;Gammaproteobacteria;Enterobacterales;Aeromonadaceae;g__Aeromonas	0	0	0	69	0	0	0	0	0	36
Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;g__Desulfovibrio	0	144	0	0	0	0	14	200	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae;g__Paeniclostridium	0	26	0	6	0	0	5	5	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;g__Bacteroides_B	131	25	0	6804	0	18	0	189	183	0
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;g__Pseudomonas_E	0	0	0	0	0	0	0	0	0	7
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Hungatella	95	0	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;g__Erysipelatoclostridium	2	11	0	4685	0	275	0	4	0	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Ruthenibacterium	1	4	0	21	0	0	0	1	0	8
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Blautia	641	3064	0	56602	540	1479	180	2814	48	39
Actinobacteriota;Actinobacteria;Actinomycetales;Micrococcaceae;g__Micrococcus	0	3	0	7	13	3	11	0	0	6
Bacteroidota;Bacteroidia;Bacteroidales;UBA932;g__RC9	0	66	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Bittarella	958	0	0	18429	0	81	0	597	155	17
Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;g__Haemophilus_A	0	0	0	1019	0	0	0	0	0	0
Firmicutes_A;Clostridia;4C28d-15;UBA1242;g__UBA4626	0	11	0	0	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;g__Sphingomonas	0	0	0	0	40	0	153	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Dermabacteraceae;g__Dermabacter	0	0	0	0	83	1	139	22	0	0
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;g__Lawsonella	0	59	2	0	138	160	148	70	0	293
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;g__Eggerthella	0	0	0	56	0	0	0	0	0	0
Firmicutes_C;Negativicutes;Veillonellales;Dialisteraceae;g__Allisonella	0	103	0	27	0	10	0	20	0	0
Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;g__Chryseobacterium_B	0	0	0	0	0	0	0	0	0	18
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;g__Urmitella	0	471	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;g__Lysobacter	0	0	0	0	0	0	13	0	0	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;g__Vibrio	0	0	0	0	0	0	0	0	0	4
Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;g__F0058	0	0	0	3	0	0	0	0	0	0
Firmicutes_C;Negativicutes;Veillonellales;Veillonellaceae;g__Veillonella	0	93	0	386	137	3	2	12	4	5
Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;g__Mitsuokella	0	209	0	0	0	0	20	0	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;g__Dakarella	4	0	0	0	0	0	0	0	0	18
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Aquaspirillaceae;g__Microvirgula	0	0	0	2	0	0	0	0	0	0
Firmicutes_A;Clostridia;Christensenellales;CAG-138;g__PeH17	4	14	0	0	0	0	0	28	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Coprobacteraceae;g__Coprobacter	0	0	0	2036	0	0	0	0	0	0
Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;g__Methanobrevibacter_A	17	59	0	0	7	23	16	10	0	103
Firmicutes_A;Clostridia;Christensenellales;Christensenellaceae;g__Christensenella	0	0	0	0	0	0	0	0	0	8
Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;g__Empedobacter	0	0	0	0	0	0	0	0	0	14
Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;g__Eubacterium_A	0	0	0	0	0	2	0	0	0	43
Actinobacteriota;Actinobacteria;Actinomycetales;Bifidobacteriaceae;g__Alloscardovia	254	0	15	1	0	0	0	0	1	0
Firmicutes_A;Clostridia;Tissierellales;Ezakiellaceae;g__Ezakiella	757	527	0	0	360	1017	16	68	23	372
Firmicutes_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae;g__Terrisporobacter	4095	158	3	4134	1139	683	0	195	1708	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;g__Massilia	0	0	0	0	4	0	12	0	0	0
Firmicutes_C;Negativicutes;Veillonellales;Megasphaeraceae;g__28L	0	0	0	0	0	348	83	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;g__Arcanobacterium_A	0	0	0	0	0	2	0	3	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Levyella	0	0	0	0	370	389	10	2	9	40
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;g__Delftia	0	0	0	0	21	0	9	0	0	7
Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;g__Flavonifractor	2	17	0	0	0	0	0	38	0	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Fournierella	0	30	0	0	0	29	3	164	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;g__Eubacterium_B	0	0	0	0	0	0	0	0	0	21
Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;g__Tidjanibacter	0	0	0	106	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;g__Pedobacter	0	0	0	0	0	0	23	0	0	0
Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;g__Chryseobacterium_D	0	0	0	2	245	0	3	0	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;g__Libanicoccus	0	50	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Ndongobacter	0	0	0	0	0	22	0	5	0	102
Actinobacteriota;Actinobacteria;Actinomycetales;Micrococcaceae;g__Arthrobacter_D	0	0	0	0	1019	0	6	6	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;g__Parabacteroides_A	0	0	0	49	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;g__CAG-521	0	0	0	98	0	0	0	0	0	0
Firmicutes_A;Clostridia;Clostridiales;Clostridiaceae;g__Proteiniclasticum	0	0	0	0	0	0	5	0	0	0
Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;g__Akkermansia	118	0	0	1498	0	7	0	96	2	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;g__Variovorax	0	0	0	0	0	0	9	0	0	0
Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;g__Selenomonas_A	0	196	0	0	8	0	0	0	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;g__UBA1191	2	27	0	23	0	12	0	29	0	10
Firmicutes_A;Clostridia;Saccharofermentanales;Mageeibacillaceae;g__Mageeibacillus	0	0	0	0	0	21	7	0	0	0
Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;g__CAG-306	0	0	0	55	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;g__Trueperella	0	2	0	0	27	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;g__Sphingomonas_E	0	0	0	0	0	0	10	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Ruminococcus	679	2780	0	48973	533	1044	75	2953	12	11
Firmicutes;Bacilli;Mycoplasmatales;Ureaplasmataceae;g__Ureaplasma	0	0	0	0	0	0	14	0	0	88
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;g__Paraprevotella	21	0	0	0	0	0	0	72	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;g__Morococcus	0	0	0	0	0	0	10	0	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;g__Olsenella	7	7	0	3	0	0	0	0	0	0
Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;g__Eubacterium_D	10	0	0	30	0	0	0	1	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__TF01-11	0	0	0	1203	0	0	0	0	0	0
Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae_B;g__Mycoplasma_D	0	0	0	0	0	0	53	0	0	0
Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;g__Vaginella	0	0	0	0	129	1	0	11	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;g__Phocaeicola	0	0	0	0	0	0	0	0	0	95
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;g__Slackia	6	0	0	17	10	5	0	6	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Helcococcus	0	0	0	0	52	0	0	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Murdochiella;s__Murdochiella_massiliensis(RS_GCF_900059565.1)	173	617	0	0	39	62	0	846	9	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-45;s__(GB_GCA_900066395.1)	0	21	0	689	0	13	2	817	0	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminiclostridium_E;s__Ruminiclostridium_E_siraeum(RS_GCF_001404415.1)	0	17	0	495	0	215	0	42	0	0
Firmicutes_A;Clostridia;TANB77;CAG-508;CAG-354;s__(GB_GCA_000437455.1)	55	72	0	810	10	40	0	94	1	0
Firmicutes_A;Clostridia;CAG-41;UBA1381;CAG-41;s__CAG-41_sp1(GB_GCA_900066215.1)	12	7	0	2175	0	12	0	53	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;s__Parabacteroides_merdae(RS_GCF_000307345.1)	0	0	0	802	0	9	0	40	12	0
Firmicutes_A;Clostridia;Clostridiales;Clostridiaceae;Clostridium_P;s__Clostridium_P_ventriculi(RS_GCF_001485185.1)	0	590	0	10353	0	2	0	80	3	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;992a;s__(RS_GCF_001940245.1)	96	18	0	9083	8	73	2	167	21	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CHKCI001;s__(RS_GCF_900045905.1)	64	91	0	4731	54	143	0	28	7	4
Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;s__Sneathia_sanguinegens(RS_GCF_001517935.1)	0	0	0	0	0	263	244	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;s__Oscillibacter_ruminantium(RS_GCF_000307265.1)	28	81	0	223	0	20	0	8	2	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;s__Coprococcus_eutactus(RS_GCF_000154425.1)	7	39	0	8493	44	106	0	396	0	11
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;s__(GB_GCA_900066555.1)	8	26	0	43	20	18	0	16	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcus_B;s__Ruminococcus_B_faecis(RS_GCF_001406755.1)	105	1210	0	5299	360	652	3	762	0	5
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcus_B;s__Ruminococcus_B_gnavus(RS_GCF_000526735.1)	5	143	0	111	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;s__Porphyromonas_uenonis(RS_GCF_000482365.1)	120	0	0	0	0	29	0	11	0	20
